id,subregion,parcel,volume
1,CA1,SLM,9366545922
2,CA1,SR,10951817102
3,CA1,SP,3436800000
4,CA1,SO,7686802192
5,CA2,SLM,563360068.7
6,CA2,SR,750267763.7
7,CA2,SP,411400000
8,CA2,SO,620633287.1
9,CA3,SLM,759922216.3
10,CA3,SR,8229351456
11,CA3,SL,4854926084
12,CA3,SP,4118100000
13,CA3,SO,7025688810
14,DG,SMO,9518233055
15,DG,SMI,4759116527
16,DG,SG,3174600000
17,DG,H,3515908637
18,EC,I,7918472146
19,EC,II,11458847642
20,EC,III,8193981881
21,EC,IV,3433932519
22,EC,V,6379214088
23,EC,VI,6182839555
24,MEC,I,2576770345
25,MEC,II,3628376490
26,MEC,III,2575731103
27,MEC,IV,377361465.5
28,MEC,V,773049991.8
29,MEC,VI,1282619658
30,LEC,I,5341701801
31,LEC,II,7830471152
32,LEC,III,5618250778
33,LEC,IV,3056571053
34,LEC,V,5606164096
35,LEC,VI,4900219897
36,SUB,SM,2438029401
37,SUB,SP,8776760226
38,SUB,SL,7124137181
