neuron_id,sub_layer
1000,DG
1041,DG
1001,DG
1002,DG
1043,DG
1027,DG
1010,DG
1035,DG
1036,DG
1009,DG
1013,DG
1026,DG
1040,DG
1005,DG
1008,DG
1007,DG
1006,DG
1004,DG
2000,CA3
2004,CA3
2003,CA3
2001,CA3
2028,CA3
2047,CA3
2043,CA3
2044,CA3
2045,CA3
2021,CA3
2042,CA3
2046,CA3
2005,CA3
2017,CA3
2013,CA3
2014,CA3
2019,CA3
2036,CA3
2035,CA3
2009,CA3
2049,CA3
2023,CA3
2008,CA3
2022,CA3
2020,CA3
3000,CA2
3006,CA2
3007,CA2
3003,CA2
3008,CA2
4000,CA1
4094,CA1
4054,CA1
4036,CA1
4038,CA1
4023,CA1
4078,CA1
4079,CA1
4039,CA1
4080,CA1
4022,CA1
4021,CA1
4056,CA1
4031,CA1
4020,CA1
4091,CA1
4093,CA1
4081,CA1
4005,CA1
4004,CA1
4012,CA1
4011,CA1
4069,CA1
4089,CA1
4087,CA1
4055,CA1
4083,CA1
4068,CA1
4066,CA1
4006,CA1
4076,CA1
4003,CA1
4028,CA1
4061,CA1
4015,CA1
4084,CA1
4033,CA1
4041,CA1
4035,CA1
4013,CA1
5001,SUB
5005,SUB
5002,SUB
6094,EC
6005,EC
6008,MEC
6019,MEC
6003,MEC
6082,EC
6025,LEC
6031,MEC
6017,EC
6007,LEC
6006,MEC
6024,MEC
6092,EC
6018,EC
6095,EC
6085,EC
6086,EC
6033,MEC
6021,EC
6002,MEC
6023,MEC
6052,MEC
6078,LEC
6048,EC
6096,MEC
6053,EC
6049,LEC
6047,MEC
6040,MEC
6087,EC
6038,MEC
